,NeuronName,NeuronType,Fibre_Diameter,Location,Electrode_Config,Frequency,Titration_Factor,Activation_Threshold (mA),First_Spike_Loc
42,Nerve_ventral_root_T12_nerve_twelfth_thoracic_right_03 [Motor MRG Neuron 10.00um]  (Ventral_Root_Nerves_(T7-L2)_10um),Motor MRG Neuron,10.00um,T12_nerve,DM-R - Reversed,30,0.01416015625,1.4160156250000002,node[33]
43,Nerve_ventral_root_T12_nerve_twelfth_thoracic_right_03 [Motor MRG Neuron 15.00um]  (Ventral_Root_Nerves_(T7-L2)_15um),Motor MRG Neuron,15.00um,T12_nerve,DM-R - Reversed,30,0.014404296875,1.4404296875,node[24]
44,Nerve_ventral_root_T12_nerve_twelfth_thoracic_right_03 [Motor MRG Neuron 20.00um]  (Ventral_Root_Nerves_(T7-L2)_20um),Motor MRG Neuron,20.00um,T12_nerve,DM-R - Reversed,30,0.0191650390625,1.9165039062500002,node[20]
41,Nerve_ventral_root_T12_nerve_twelfth_thoracic_right_02 [Motor MRG Neuron 20.00um]  (Ventral_Root_Nerves_(T7-L2)_20um),Motor MRG Neuron,20.00um,T12_nerve,DM-R - Reversed,30,0.0196533203125,1.9653320312500002,node[32]
38,Nerve_ventral_root_T12_nerve_twelfth_thoracic_right_01 [Motor MRG Neuron 20.00um]  (Ventral_Root_Nerves_(T7-L2)_20um),Motor MRG Neuron,20.00um,T12_nerve,DM-R - Reversed,30,0.0196533203125,1.9653320312500002,node[32]
40,Nerve_ventral_root_T12_nerve_twelfth_thoracic_right_02 [Motor MRG Neuron 15.00um]  (Ventral_Root_Nerves_(T7-L2)_15um),Motor MRG Neuron,15.00um,T12_nerve,DM-R - Reversed,30,0.0201416015625,2.01416015625,node[38]
37,Nerve_ventral_root_T12_nerve_twelfth_thoracic_right_01 [Motor MRG Neuron 15.00um]  (Ventral_Root_Nerves_(T7-L2)_15um),Motor MRG Neuron,15.00um,T12_nerve,DM-R - Reversed,30,0.0203857421875,2.03857421875,node[38]
23,Nerve_ventral_root_T11_nerve_eleventh_thoracic_right_01 [Motor MRG Neuron 20.00um]  (Ventral_Root_Nerves_(T7-L2)_20um),Motor MRG Neuron,20.00um,T11_nerve,DM-R - Reversed,30,0.0220947265625,2.20947265625,node[29]
26,Nerve_ventral_root_T11_nerve_eleventh_thoracic_right_02 [Motor MRG Neuron 20.00um]  (Ventral_Root_Nerves_(T7-L2)_20um),Motor MRG Neuron,20.00um,T11_nerve,DM-R - Reversed,30,0.022216796875,2.2216796875,node[28]
17,Nerve_ventral_root_T11_nerve_eleventh_thoracic_left_02 [Motor MRG Neuron 20.00um]  (Ventral_Root_Nerves_(T7-L2)_20um),Motor MRG Neuron,20.00um,T11_nerve,DM-R - Reversed,30,0.0225830078125,2.25830078125,node[15]
14,Nerve_ventral_root_T11_nerve_eleventh_thoracic_left_01 [Motor MRG Neuron 20.00um]  (Ventral_Root_Nerves_(T7-L2)_20um),Motor MRG Neuron,20.00um,T11_nerve,DM-R - Reversed,30,0.022705078125,2.2705078125,node[15]
20,Nerve_ventral_root_T11_nerve_eleventh_thoracic_left_03 [Motor MRG Neuron 20.00um]  (Ventral_Root_Nerves_(T7-L2)_20um),Motor MRG Neuron,20.00um,T11_nerve,DM-R - Reversed,30,0.0228271484375,2.28271484375,node[16]
36,Nerve_ventral_root_T12_nerve_twelfth_thoracic_right_01 [Motor MRG Neuron 10.00um]  (Ventral_Root_Nerves_(T7-L2)_10um),Motor MRG Neuron,10.00um,T12_nerve,DM-R - Reversed,30,0.0233154296875,2.33154296875,node[62]
39,Nerve_ventral_root_T12_nerve_twelfth_thoracic_right_02 [Motor MRG Neuron 10.00um]  (Ventral_Root_Nerves_(T7-L2)_10um),Motor MRG Neuron,10.00um,T12_nerve,DM-R - Reversed,30,0.0233154296875,2.33154296875,node[62]
22,Nerve_ventral_root_T11_nerve_eleventh_thoracic_right_01 [Motor MRG Neuron 15.00um]  (Ventral_Root_Nerves_(T7-L2)_15um),Motor MRG Neuron,15.00um,T11_nerve,DM-R - Reversed,30,0.024658203125,2.4658203125000004,node[34]
25,Nerve_ventral_root_T11_nerve_eleventh_thoracic_right_02 [Motor MRG Neuron 15.00um]  (Ventral_Root_Nerves_(T7-L2)_15um),Motor MRG Neuron,15.00um,T11_nerve,DM-R - Reversed,30,0.024658203125,2.4658203125000004,node[34]
13,Nerve_ventral_root_T11_nerve_eleventh_thoracic_left_01 [Motor MRG Neuron 15.00um]  (Ventral_Root_Nerves_(T7-L2)_15um),Motor MRG Neuron,15.00um,T11_nerve,DM-R - Reversed,30,0.025634765625,2.5634765625,node[19]
16,Nerve_ventral_root_T11_nerve_eleventh_thoracic_left_02 [Motor MRG Neuron 15.00um]  (Ventral_Root_Nerves_(T7-L2)_15um),Motor MRG Neuron,15.00um,T11_nerve,DM-R - Reversed,30,0.025634765625,2.5634765625,node[19]
19,Nerve_ventral_root_T11_nerve_eleventh_thoracic_left_03 [Motor MRG Neuron 15.00um]  (Ventral_Root_Nerves_(T7-L2)_15um),Motor MRG Neuron,15.00um,T11_nerve,DM-R - Reversed,30,0.025634765625,2.5634765625,node[19]
21,Nerve_ventral_root_T11_nerve_eleventh_thoracic_right_01 [Motor MRG Neuron 10.00um]  (Ventral_Root_Nerves_(T7-L2)_10um),Motor MRG Neuron,10.00um,T11_nerve,DM-R - Reversed,30,0.0283203125,2.8320312500000004,node[46]
24,Nerve_ventral_root_T11_nerve_eleventh_thoracic_right_02 [Motor MRG Neuron 10.00um]  (Ventral_Root_Nerves_(T7-L2)_10um),Motor MRG Neuron,10.00um,T11_nerve,DM-R - Reversed,30,0.028564453125,2.8564453125000004,node[46]
65,Nerve_ventral_root_T8_nerve_eighth_thoracic_left_02 [Motor MRG Neuron 20.00um]  (Ventral_Root_Nerves_(T7-L2)_20um),Motor MRG Neuron,20.00um,T8_nerve,DM-R - Reversed,30,0.029541015625,2.9541015625000004,node[16]
62,Nerve_ventral_root_T8_nerve_eighth_thoracic_left_01 [Motor MRG Neuron 20.00um]  (Ventral_Root_Nerves_(T7-L2)_20um),Motor MRG Neuron,20.00um,T8_nerve,DM-R - Reversed,30,0.029541015625,2.9541015625000004,node[16]
